,0
55,"株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同
【管理業務スタッフ】※北海道・東北・九州限定※未経験採用 正社員
職種・業種未経験OK 急募 学歴不問 第二新卒歓迎
仕事内容 【北海道・九州・東北増員中】プロジェクトのスケジュール確認・問い合わせ対応などを担当。★土日休み・オフ充実★高収入も可能
対象となる方 ◆20～30代の男性が中心に活躍中◆経験不問！転職回数も不問です！未経験者大歓迎！未経験から一生モノのスキルが身に付くお仕事です◆面接は1回◆
勤務地 ★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★北海道・東北・九州(沖縄含む)エリアのプロジェクト先 <…
給与 ■北海道 月給215,000円以上＋各種手当＋賞与年2回 (固定残業手当41,500円/20H分を含む） ■東北 月給21…
初年度年収 350万円～500万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/16
掲載終了予定日： 2020/12/03"
56,"株式会社リプロ | 創業30年以来、黒字経営を継続中＊在宅時間の増加でニーズも拡大
【提案営業】◇完全反響 ◇営業全社員の平均年収780万円！ 正社員
職種・業種未経験OK 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【未経験でも2件に1件は成約！】分譲マンションに特化したバス・キッチンのリフォーム提案◆成約に結びつく理由あり◆残業月平均20H／年間休日120日
対象となる方 ◎未経験OK！普免あれば尚可 ◆飲食・サービス業や不動産、製造業などからの転職者が多数活躍中 ◆週3日から勤務日数の相談OK！待遇も変わりません
勤務地 ＊直行直帰の営業スタイル 【営業エリア】 神奈川県、埼玉県、千葉県、東京都の一都三県 【本社】 神…
給与 月給25万円以上＋インセンティブ ※固定残業代45時間分／74,618円〜を含む。超過分別途支給 ※試用期間6…
初年度年収 500万円～1000万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/18
掲載終了予定日： 2020/12/10"
57,"株式会社ファミリーコーポレーション | 『日本一お客様に信頼される不動産会社』を目指す成長企業
億単位の取引を手掛ける！【不動産の開発営業】★月給35万円～ 正社員
業種未経験OK 転勤なし
女性のおしごと掲載中
仕事内容 【「売る」ではなく「買う」営業】◆不動産仲介会社などから売却の情報収集を行い、不動産を仕入れる仕事★年3回、9連休前後の休暇有
対象となる方 「商品力」ではなく「人間力」で勝負【異業種出身が多数活躍】◆法人営業の経験（業界不問）◆実績が収入やポストに直結する仕事に挑戦したい方を歓迎
勤務地 ＊--アクセス抜群！『新橋駅』から徒歩3分の好立地--＊ ☆転勤なし 東京都中央区銀座8-5-6…
給与 月給:35万円〜＋ インセンティブ ※経験・年齢・能力を考慮のうえ、決定致します。 ※待遇条件の詳細に…
初年度年収 420万円～1000万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/24"
58,"株式会社アール・エム | 大阪府緊急雇用対策に賛同/79名が月収100万円以上を達成(2019年)
WEB制作会社No.1を目指す会社の【提案営業】※履歴書不要！ 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【最短“11ヶ月”での課長昇進・“新卒入社3年目”での課長昇進(2名)実績あり！】◎企業のビジネス課題を解決に導くWEBの企画提案をお任せします。
対象となる方 【履歴書不要！“35歳以下”の方なら全員面接を行います！】◎学歴不問 ※努力が報われる会社を探している方・チャンスが欲しい方は、ぜひご応募を！
勤務地 《希望以外の転勤なし／UIターン歓迎》 大阪・東京・福岡の各拠点のいずれかに配属します。 【大阪本…
給与 月給25万円＋インセンティブからスタート ※固定残業代5万5900円(40時間分)含む。 　時間超過分は追加…
初年度年収 400万円～700万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/03"
59,"UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK
40～50代活躍中！【生産ラインスタッフ】高収入！日勤のみも可！ 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【年間休日127～190日・無理なく働ける！】 医薬品や半導体分野における生産ラインでの組み立て、加工、箱詰、在庫確認業務などを担当。
対象となる方 【40～50代も多数活躍中】未経験OK！「今より稼ぎたい方」方へオススメ＜スピード選考！今月中の内定獲得を！※面接1回・私服でOK(履歴書不要)＞
勤務地 【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…
給与 月給20万〜30万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間…
初年度年収 300万円～500万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/18
掲載終了予定日： 2020/12/03"
60,"日研トータルソーシング株式会社 | ◆家具・家電付の社員寮◆年休最大160日◆残業ほぼなし
""コツコツ""活躍できる【軽作業スタッフ】正社員募集×賞与2回 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 製品の組み立て・検査や工場内の機械の操作等、あなたの経験・スキルに合わせて、できる業務から少しずつお任せします。
対象となる方 ◎社会人経験をお持ちの方 ★学歴・経験・転職回数など一切不問 ★未経験者大歓迎 ★20～40代で入社した先輩も多数活躍中！
勤務地 *◆ 希望を考慮のうえ、全国46都道府県に配属！ ◆* ☆転勤なしもOK！面接時にご相談ください。…
給与 月給20万円〜41万円＋残業手当（100％支給）＋賞与2回 【月収例：入社1年目】 月収30万円(月給23万円+…
初年度年収 350万円～600万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/03"
61,"エーアイアールグループ合同募集 | 中途採用者活躍中★平均月収60万円★残業少なめ★週休2日制
月給40万円可★11月入社OK【ルームアドバイザー】月収例:86.5万 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【100％反響営業★営業デビュー歓迎】お客様のご希望のお部屋探しをお手伝い♪ ★安心のチーム制 ★研修制度も充実 ★評価制度がクリア ★ノルマなし
対象となる方 【応募条件を満たす方は全員面接確約！】未経験歓迎★40歳までの方★学歴不問★社会人経験ゼロの方OK★先輩の95%は未経験入社 ※宅建保有者優遇
勤務地 【★積極採用中⇒池袋店/品川店/横浜店/新宿店】 ☆転居を伴う転勤なし ☆全店舗最寄駅より5分圏内…
給与 【各社共通】 月給24万5,000円~月給40万円 ＋ インセンティブ ＋ 賞与 ＋ 諸手当 ※経験やスキルに応じ…
初年度年収 450万円～1000万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/17"
62,"日研トータルソーシング株式会社 | ●社員定着率95％！ ●賞与年2回支給！ ●学歴・経験一切不問！
【製造サポートスタッフ】◆未経験者大歓迎&残業ほぼなし！ 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 製造現場での様々な仕事の中から、製品の組み立て・検査や工場内の機械の操作等の業務をお任せします。【あなたの希望や適性を最大限考慮】
対象となる方 《本当に履歴書の内容は問いません！》★学歴・経験・転職回数など不問 ★未経験や社会人デビューも大歓迎！★20～40代で入社した社員が多数活躍中！
勤務地 *◆ 希望を考慮のうえ、全国46都道府県に配属！ ◆* ☆転勤なしもOK！面接時にご相談ください。…
給与 月給20万円〜41万円＋残業手当（100％支給）＋賞与2回 【月収例：入社1年目】 月収30万円(月給23万円+…
初年度年収 350万円～600万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/03"
63,"UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★安定基盤
シンプルワーク中心【軽作業スタッフ(梱包・検品等)】未経験OK！ 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 ＜業務マニュアル有・難しい仕事はありません＞医薬品/食品/家電/高級車など担当分野はあなたの希望にあわせてご紹介！梱包・検品業務を担当！
対象となる方 【学歴不問】未経験歓迎！「好きな地で長く働きたい」「高収入を目指したい」「ちゃんと休みたい」「難しくない仕事が希望！」そんな希望もOK！
勤務地 【転勤なし】全国40都道府県に配属！（全国各地に勤務地あり） <勤務地一覧> ■北海道 ■東北・北…
給与 月給20万〜42万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間あ…
初年度年収 300万円～500万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/03"
64,"株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同
同期入社多数！【資材管理】★研修充実！※全国募集※未経験歓迎 正社員
職種・業種未経験OK 急募 学歴不問 第二新卒歓迎
仕事内容 【こんなにも早く転職できるなんて！という声が多数！】各プロジェクト先にて、資材管理業務全般をお任せ★土日休み・年収600万円以上も可能
対象となる方 ◆20～30代の男性が中心に活躍中◆経験不問！転職回数も不問です！未経験者大歓迎！『年収面でもっと周りに差をつけたい…』そんな方は是非！
勤務地 ★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★全国47都道府県のプロジェクト先(首都圏・東北・関西・中…
給与 ■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…
初年度年収 350万円～500万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/16
掲載終了予定日： 2020/12/03"
65,"株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同
夜勤ナシ！【点検・保守】転職回数不問※全国募集※未経験歓迎 正社員
職種・業種未経験OK 急募 学歴不問 第二新卒歓迎
仕事内容 【新たなスタートダッシュを！】プロジェクト先にて点検・保守業務や管理業務全般を担当 ★土日休み・オフも充実♪年収600万円も可能
対象となる方 ◆20～30代の男性が中心に活躍中◆経験・転職回数不問！未経験者歓迎！『安定した環境でプライベートも充実させたい』そんな方は是非！
勤務地 ★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★全国47都道府県のプロジェクト先(首都圏・東北・関西・中…
給与 ■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…
初年度年収 350万円～500万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/16
掲載終了予定日： 2020/12/03"
66,"株式会社ファミリーコーポレーション | 『日本一お客様に信頼される不動産会社』を目指す成長企業
お客様満足度を追求できる【土地活用の営業】★月給35万円～ 正社員
業種未経験OK 転勤なし
女性のおしごと掲載中
仕事内容 【不動産建築、賃貸経営、駐車場経営、売却など、多彩なソリューションを提案】土地オーナーさまのニーズに応じてベストな土地活用プランを提案します
対象となる方 【土地活用の営業経験者、歓迎！】◆建築営業の経験3年以上◆土地活用に関する幅広い知識を身につけたい方は大歓迎です！★9連休前後の長期休暇年3回
勤務地 ＊--アクセス抜群！『新橋駅』から徒歩3分の好立地--＊ ☆転勤なし 東京都中央区銀座8-5-6…
給与 月給:35万円〜＋ インセンティブ ※経験・年齢・能力を考慮のうえ、決定致します。 ※待遇条件の詳細に…
初年度年収 420万円～1000万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/24"
67,"i-CREW株式会社 | 【入社2年目以降に年収800万超も可能】即日内定もOK！
大手空調メーカーの【メンテナンススタッフ】残業ほぼなし 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 第二新卒歓迎
仕事内容 【日中作業が中心】既存顧客先(法人)の空調設備の定期メンテナンスや修理をお任せ。★スケジュール管理がしやすく、自分のペースで働ける◎
対象となる方 【未経験・第二新卒も大歓迎！】◆要普通免許 ◆学歴・経験や就業ブランクは問いません！★20代の若手が活躍中！異業種出身者も多数活躍しています◎
勤務地 ★転居を伴う転勤なし！ ★U・Iターン歓迎！ ★マイカー・社用車での通勤OK！ ◆本社／大阪府大東…
給与 ◆月給：25万円〜50万円+諸手当 【モデル月収例】 月収80万円／入社3年目・インセンティブ含む ※年齢…
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2020/12/21"
68,"株式会社ミュゼプラチナム | ★転勤なし★賞与年4回★ノルマなし★コスメ社割★WEB面接
【受付カウンセラー】原則定時退社★全国採用★29歳までの方限定 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 《ノルマなし》ご来店されたお客さまへのカウンセリングやお手入れ、ミュゼコスメのご提案をお任せ★約3カ月の研修あり★美容の資格も取得できる
対象となる方 《美容業界未経験も歓迎★平均年齢27歳★同期入社多数♪》◆29歳までの方(※)「人と話をすることが好き」「美容やコスメが好き」という方は歓迎！
勤務地 ◎会社都合による転勤はありません◎ ★あなたの希望エリアで働けます。 ★全47都道府県に店舗あり！…
給与 【1】月給24万円以上 東京/神奈川/埼玉/千葉/茨城/静岡/山梨/ 岐阜/愛知/三重/滋賀/大阪/京都/奈良/兵庫…
初年度年収 350万円～450万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/10/28
掲載終了予定日： 2020/12/07"
69,"株式会社ファミリー工房 | ★安心:""懇親会""で理解を深めた上、入社できる！
【総合職(リフォーム営業/不動産営業/施工管理/建築士)】 正社員
急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【能力と実績を待遇面にしっかりと反映！】 ◆経験とスキルを考慮した上で【リフォーム営業/不動産営業/施工管理/建築士】いずれかをお任せします
対象となる方 【成長企業の中心メンバーとして活躍！】 ◆【リフォーム営業/不動産営業(仲介・売買)/建築施工管理/建築設計】※いずれかの経験をお持ちの方
勤務地 本社・世田谷支店のいずれかに勤務！（希望勤務地は考慮♪） ■足立本社／東京都足立区大谷田4-1-2…
給与 月給35万円〜60万円 ※経験・年齢・能力・前職給与を考慮の上、決定いたします。 ※試用期間6ヶ月有（期…
初年度年収 450万円～850万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/10/27
掲載終了予定日： 2021/01/18"
70,"積水ハウス不動産関西株式会社 | 【月給30万円以上＋賞与年3回】※大阪府緊急雇用対策に賛同
積水ハウスグループで活躍！【不動産営業】※勤務地は関西のみ 正社員
急募 完全週休2日制
女性のおしごと掲載中
仕事内容 【不動産の売買仲介業務をお任せします】メインは積水ハウスの物件。グループの強力なネットワークを活かした、スムーズな営業活動が可能です。
対象となる方 ◆宅地をお持ちの方 ◆要普通自動車免許（AT限定可）◆ハウスメーカー・不動産売買の経験がある方は優遇します【20～30代の社員が活躍中！】
勤務地 【大阪・兵庫・京都・滋賀・奈良・和歌山の各拠点】 ★関西エリアのみ！関西に根差して働けます ★U・…
給与 ◆月給30万円〜＋賞与年3回 ＜モデル年収＞ 32〜33歳 980万円 41〜42歳 1,190万円 ※上記は各年齢の営業…
初年度年収 400万円～700万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/13
掲載終了予定日： 2020/12/07"
71,"DSP株式会社 | ★土日休み ★完全週休2日 ★年間休日125日～130日
◆経験者は前給UPを保証！【人材コーディネーター】※高卒以上 正社員
職種・業種未経験OK 急募 転勤なし 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【裁量大きく、自由度高く活躍！】人材コーディネーターとして新規クライアントの拡大と登録スタッフ増員をお任せしていきます。
対象となる方 【人材業界経験をお持ちの方をとことん優遇！】※求人広告営業、人材派遣、人材紹介、人材コンサルティング等の経験をお持ちの方は優遇いたします。
勤務地 【東京・大阪・北海道・宮城・福岡のいずれかで勤務】 ★転勤なし！ 【本社】 東京都港区西新橋1-6…
給与 月給／30万円〜 ＋ インセンティブ ★""前職の給与以上""を保証します。 　そこに経験・能力等を考慮し加給…
初年度年収 350万円～1000万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/10/23
掲載終了予定日： 2020/12/03"
72,"株式会社山王 | 無理なくステップアップできる ＆ 20代30代が活躍中の成長企業
販売ではなく商品説明を行う【営業スタッフ】※ノルマもなし！ 正社員
職種・業種未経験OK 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【 営業なのに！販売や提案は無し 】あなたの仕事は商品説明だけ！　★ご紹介する商材は、省エネプランやエコ商品、電気自動車、リノベーションなど
対象となる方 【営業未経験、社会人デビュー、正社員デビューも大歓迎】◎要運転免許　◎男女不問　◎45歳までの方（※）　★イチから学べる教育研修あり
勤務地 本社（福岡市中央区）または福岡市早良区、福岡市博多区 ★転勤なし ★マイカー通勤OK（福岡西営業所…
給与 月給25万円　+　インセンティブ ※待遇条件の詳細については、面接などでご相談ください。 ※有資格者に…
初年度年収 500万円～2000万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/10/23
掲載終了予定日： 2020/12/03"
73,"株式会社エコリング | 【大阪府緊急雇用対策に賛同】コロナ禍で過去最高の伸び率を記録
【総合職】めったに空きの出ない求人を再開！2回のWEB面接で内定 正社員
職種・業種未経験OK 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【チャンスは無限大！若手でも新事業の立ち上げにも携われる！】希望を考慮して＜鑑定士＞＜バイヤー＞のいずれかの業務へ配属します
対象となる方 【未経験・第二新卒歓迎】■高卒以上■33歳まで ■要普免（AT限定可）★先輩の9割が未経験からのスタート！★プライベートの時間もしっかり充実！
勤務地 【東京(上野・錦糸町)・大阪(天王寺上本町・八尾)・兵庫(神戸・加古川)で積極採用中！】 希望を配…
給与 月給：25万円以上（関東の店舗は月給27万円以上）＋諸手当／2021年1月〜 月給：21万円以上（関東の店舗は…
初年度年収 350万円～450万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/12
掲載終了予定日： 2020/12/21"
74,"日本交通埼玉株式会社 | 年収650万円以上も叶う！業界トップクラス企業《賞与年3回》
不安なあなたも安心。6ヶ月30万円給与保証【タクシーの乗務員】 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【2種免許は会社負担で取得できる！だから未経験でOK】◎タクシーでの送迎をお任せ ◎移動範囲は主にさいたま市内 ★待機メインだから効率よく稼げる
対象となる方 〔学歴や年齢・性別は一切不問〕★必須：普通免許(AT可)の取得後3年以上 ★2種免許取得はもちろん、サポートが充実 ★未経験入社の先輩も多数活躍中！
勤務地 ★マイカー通勤OK ★交通費5万円まで支給 埼玉県さいたま市北区今羽町69-16 ⇒埼玉新都市交通…
給与 月給18万円 +歩合給＋賞与年3回 ★年収450万円越えの社員多数！ ★配属後6ヶ月間は月給30万円の給与保証…
初年度年収 400万円～600万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/10
掲載終了予定日： 2020/12/14"
75,"株式会社エージェントゲート | 大手案件で社会を支える安定性◇有給取得率100％◆定期昇給あり
【インフラエンジニア】★5G・クラウド案件あり★年間休日130日 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【5G・AWSなど先進技術／上流（設計・構築）/長期プロジェクトなど希望に応じ配属】◆運用監視1年の経験あれば即・上流もOK★前職給与以上を保証！
対象となる方 【経験者からスキルに自信ない経験浅めまで歓迎】◆インフラエンジニア経験1年以上（運用保守のみOK）★土日祝休み＆残業基本ナシで生活安定！
勤務地 首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…
給与 経験者／月給35万円〜 経験浅め／月給23万円〜 PM・PL／月給45万円〜 ★前給以上を保証します！ ※経験…
初年度年収 300万円～1000万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/31"
76,"株式会社エージェントゲート | Web面談実施中★年間休日130日★Python／Java／Rubyなど案件多数
【プログラマ】*ずっとPGを続けて収入UP*全員面談*残業基本ゼロ 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【案件の強制なし！やりたい言語を最優先！大手プライムあり】◆スマホアプリ・業務システム・ゲームなどのプログラミング★技術力を高め収入UPOK！
対象となる方 【平均年齢28歳／第二新卒歓迎】◆PGの実務経験（半年以上）★担当営業が小さな問題も解決し伴走！★PG経験2年目で入社し月給10万円アップの実例あり
勤務地 首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…
給与 経験者／月給30万円〜 経験浅め／月給23万円〜 ※経験値の高い方は月給40万円〜でお迎えします！ ★前給…
初年度年収 300万円～1000万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/31"
77,"株式会社秀光ビルド | 全国34拠点を展開するハウスメーカー／原則定時退社
自社ブランド住宅の【反響営業】★完全週休2日制 正社員
職種・業種未経験OK 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 ＼テレアポ・飛び込み・個人ノルマ一切なし／　お客様に寄り添った住まいづくりのご提案　★100％反響営業！ご来店されたお客様に対応します
対象となる方 ＼未経験・第二新卒歓迎！人物重視の採用／　★特別な資格や建築業界の経験は不問！★新しい方をイチから育てる方針です ◆要普通免許（AT限定可）
勤務地 【原則転勤なし／マイカー通勤OK】 東北、北陸、甲信越・東海、近畿、中国、四国の各拠点に希望を考慮…
給与 月給20万円〜40万円 ＋ 諸手当 ＋ インセンティブ ※経験・年齢を考慮の上、当社規定により優遇します ※…
初年度年収 300万円～600万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/17"
78,"HITOWAライフパートナー株式会社 | おそうじ本舗のFCオーナー／充実した研修アリ／自宅開業可能！
全国で募集中【FCオーナー】年齢不問★未経験歓迎★自由に働ける FCオーナー
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 ◆個人宅のハウスクリーニングが中心。技術や営業ノウハウが学べる研修からスタートし、経営が軌道に乗るよう集客面でもバックアップします！
対象となる方 年齢・経験・学歴不問／未経験歓迎◆要自普免(AT限定可)◆95％以上が未経験からスタート！自宅で1人から開業でき、技術を身につけ生涯活躍できます！
勤務地 全国47都道府県の開業希望エリア ※開業をご希望されるエリアにより異なります ※開業エリアの希望を…
給与 【収入例（あくまでも個人開業の場合の一例です）】 売上：976,000円−（原価：49,000円＋販管費：307,70…
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2020/12/03"
79,"株式会社T-TOP | 【大阪府緊急雇用対策に賛同】大手ガス会社の拡販パートナー
※月給25万円～＆完全週休2日制※【営業】40歳以下⇒全員面接 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
仕事内容 【月収50万円以上を実現している先輩が多数！】大手電力会社や大手ホームセンターの""顔""としてサービスを提供します。※安心のフォロー体制あり！
対象となる方 【性別・学歴不問】◆40歳以下の方(若年層の長期キャリア形成を図るため) ※異業種出身・営業未経験の先輩も多数活躍中　※地元で働きたい方歓迎！
勤務地 ※大阪(交野市)・兵庫(垂水)などの各拠点♪ ※U・Iターン歓迎 ※転勤なし ◆大阪府交野市 ◆兵…
給与 ◆完全週休2日制／月給25万円〜 ◆隔週休2日制／月給28万円〜 ＜モデル月収例＞ 月収50万円／20代／入…
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/17"
80,"株式会社ダイナミクス | 残業月20h以内｜100店舗以上を展開｜新規業態続々企画中☆
今、話題の外食企業【店長候補】★ポスト多数あり★月8~9日休 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 ＼自由度×裁量が大きい当社で一緒に会社を盛り上げよう／◆30ブランドの内、いずれかの店舗運営をお任せ★動画マニュアルで未経験も安心★残業月20h
対象となる方 幅広い年代の方を積極採用】飲食店での実務経験がある方★店長経験3年以上の方は優遇します！★アルバイト経験のみもOK★他業界出身の方も歓迎★
勤務地 ★---30ブランド&100店舗以上を展開---★ <当社各店舗> 京都・大阪・兵庫・東京・千葉・…
給与 月給26万円〜28万5658円+賞与あり（業績による）+各種手当 ※経験・スキルを考慮の上決定いたします。 …
初年度年収 350万円～500万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/17"
81,"アクサス株式会社 | 【月給35万円～】★月残業20h未満★年間休日125日以上★
【インフラエンジニア】エンジニア第一主義!充実の案件&働く環境 正社員
職種・業種未経験OK マネジャー採用 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【チーム単位のプロジェクト参画で安心！】サーバーの設計・構築案件を担うインフラエンジニアとして、スキル＆キャリアUPを目指せます。
対象となる方 【経験者も未経験者もお待ちしています！】※働き方を改善させたい方、スキルを更に磨きたい方、長く腰を据えてキャリアを築きたい方、ともに歓迎！
勤務地 【転勤なし/希望エリア/Iターン/Uターンで勤務可能】 東京・愛知・大阪・北海道・広島・香川。 拠…
給与 月給35万円〜＋諸手当（育児サポート手当、交通費全額支給、役職手当、特別作業手当) ※固定残業代（20時…
初年度年収 420万円～750万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/16
掲載終了予定日： 2020/12/14"
82,"株式会社テイクス | 【本社】上流工程のプロジェクトも多数！上場企業グループ会社
【ITエンジニア】成長をサポート！※学歴不問※転勤なし 正社員
急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【上流工程に携われるチャンス多数！】開発・インフラ分野で希望のプロジェクトをお任せします。★在宅・リモート案件あり★
対象となる方 【技術スキルを活かした転職を実現したい方に最適】年数を問わずシステム開発やインフラ分野での実務経験をお持ちの方※学歴不問
勤務地 東京、神奈川、埼玉、千葉のプロジェクト先 ※転勤はありません。 ※勤務地は最大限考慮。 【東京本社…
給与 ◆月給22万円〜50万円+賞与　※高収入を掴むことも可能です。 ※異業種での経験を含めて、知識・スキル…
初年度年収 300万円～650万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/10
掲載終了予定日： 2020/12/14"
83,"株式会社テイクス | 【新宿事業所】東証一部アイ・エス・ビーグループ★通勤面相談可
【ITエンジニア】キャリアを活かして活躍しよう！※高卒以上 正社員
業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【キャリアを活かせる、伸ばせる仕事を！】開発・インフラ分野で経験を活かせる仕事をお任せします。★在宅・リモート案件あり★
対象となる方 【技術スキルを活かした転職を実現したい方に最適】年数を問わずシステム開発やインフラ分野での実務経験をお持ちの方※高卒以上
勤務地 東京、神奈川、埼玉、千葉のプロジェクト先 ※転勤はありません。 ※勤務地は最大限考慮。 ※働きやす…
給与 ◆月給22万円〜50万円+賞与　※高収入を掴むことも可能です。 ※知識・スキル・経験年数等最大限考慮し…
初年度年収 300万円～650万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/03
掲載終了予定日： 2020/12/14"
